2023-03-27 14:40:31,505:INFO:TRAIN-BATCH Iter: 100, t = 1.2430, Revenue: 0.154530, Welfare: 0.133506, Buyer_Regret: 0.000146, Seller_Regret: 0.000350, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.000497, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-03-27 14:40:32,569:INFO:TRAIN-BATCH Iter: 200, t = 2.3013, Revenue: 0.145980, Welfare: 0.143575, Buyer_Regret: 0.000082, Seller_Regret: 0.000113, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.000195, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-03-27 14:40:33,666:INFO:TRAIN-BATCH Iter: 300, t = 3.3923, Revenue: 0.116879, Welfare: 0.137549, Buyer_Regret: 0.000037, Seller_Regret: 0.000105, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.000142, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-03-27 14:40:34,804:INFO:TRAIN-BATCH Iter: 400, t = 4.5230, Revenue: 0.137250, Welfare: 0.133321, Buyer_Regret: 0.000051, Seller_Regret: 0.000203, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.000253, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-03-27 14:40:35,905:INFO:TRAIN-BATCH Iter: 500, t = 5.6185, Revenue: 0.125191, Welfare: 0.115835, Buyer_Regret: 0.000095, Seller_Regret: 0.000078, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.000173, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-03-27 14:40:37,012:INFO:TRAIN-BATCH Iter: 600, t = 6.7191, Revenue: 0.132918, Welfare: 0.130486, Buyer_Regret: 0.000166, Seller_Regret: 0.000117, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.000283, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-03-27 14:40:38,144:INFO:TRAIN-BATCH Iter: 700, t = 7.8444, Revenue: 0.142253, Welfare: 0.137849, Buyer_Regret: 0.000036, Seller_Regret: 0.000104, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.000141, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-03-27 14:40:39,214:INFO:TRAIN-BATCH Iter: 800, t = 8.9096, Revenue: 0.158790, Welfare: 0.150921, Buyer_Regret: 0.000091, Seller_Regret: 0.000451, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.000541, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-03-27 14:40:40,280:INFO:TRAIN-BATCH Iter: 900, t = 9.9685, Revenue: 0.148363, Welfare: 0.158351, Buyer_Regret: 0.000012, Seller_Regret: 0.000271, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.000283, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-03-27 14:40:41,464:INFO:TRAIN-BATCH Iter: 1000, t = 11.1466, Revenue: 0.158893, Welfare: 0.154994, Buyer_Regret: 0.000022, Seller_Regret: 0.000135, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.000157, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-03-27 14:40:42,679:INFO:TRAIN-BATCH Iter: 1100, t = 12.3552, Revenue: 0.141866, Welfare: 0.156848, Buyer_Regret: 0.000078, Seller_Regret: 0.000222, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.000299, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-03-27 14:40:43,797:INFO:TRAIN-BATCH Iter: 1200, t = 13.4662, Revenue: 0.146737, Welfare: 0.166738, Buyer_Regret: 0.000031, Seller_Regret: 0.000189, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.000220, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-03-27 14:40:44,887:INFO:TRAIN-BATCH Iter: 1300, t = 14.5513, Revenue: 0.160416, Welfare: 0.176157, Buyer_Regret: 0.000013, Seller_Regret: 0.000102, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.000115, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-03-27 14:40:46,097:INFO:TRAIN-BATCH Iter: 1400, t = 15.7549, Revenue: 0.147742, Welfare: 0.152802, Buyer_Regret: 0.000055, Seller_Regret: 0.000015, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.000069, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-03-27 14:40:47,243:INFO:TRAIN-BATCH Iter: 1500, t = 16.8942, Revenue: 0.160116, Welfare: 0.155438, Buyer_Regret: 0.000026, Seller_Regret: 0.000111, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.000138, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-03-27 14:40:48,401:INFO:TRAIN-BATCH Iter: 1600, t = 18.0470, Revenue: 0.141603, Welfare: 0.133159, Buyer_Regret: 0.000017, Seller_Regret: 0.000078, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.000095, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-03-27 14:40:49,540:INFO:TRAIN-BATCH Iter: 1700, t = 19.1793, Revenue: 0.150627, Welfare: 0.142583, Buyer_Regret: 0.000032, Seller_Regret: 0.000111, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.000143, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-03-27 14:40:50,777:INFO:TRAIN-BATCH Iter: 1800, t = 20.4091, Revenue: 0.119874, Welfare: 0.136283, Buyer_Regret: 0.000037, Seller_Regret: 0.000155, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.000192, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-03-27 14:40:52,047:INFO:TRAIN-BATCH Iter: 1900, t = 21.6718, Revenue: 0.182054, Welfare: 0.176434, Buyer_Regret: 0.000058, Seller_Regret: 0.000302, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.000360, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-03-27 14:40:53,120:INFO:TRAIN-BATCH Iter: 2000, t = 22.7379, Revenue: 0.141209, Welfare: 0.131226, Buyer_Regret: 0.000052, Seller_Regret: 0.000264, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.000316, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-03-27 14:40:54,228:INFO:TRAIN-BATCH Iter: 2100, t = 23.8406, Revenue: 0.132344, Welfare: 0.140525, Buyer_Regret: 0.000006, Seller_Regret: 0.000040, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.000046, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-03-27 14:40:55,285:INFO:TRAIN-BATCH Iter: 2200, t = 24.8908, Revenue: 0.133331, Welfare: 0.125862, Buyer_Regret: 0.000029, Seller_Regret: 0.000030, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.000058, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-03-27 14:40:56,484:INFO:TRAIN-BATCH Iter: 2300, t = 26.0837, Revenue: 0.131132, Welfare: 0.128999, Buyer_Regret: 0.000016, Seller_Regret: 0.000489, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.000505, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-03-27 14:40:57,710:INFO:TRAIN-BATCH Iter: 2400, t = 27.3035, Revenue: 0.141155, Welfare: 0.144052, Buyer_Regret: 0.000020, Seller_Regret: 0.000211, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.000230, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-03-27 14:40:58,931:INFO:TRAIN-BATCH Iter: 2500, t = 28.5188, Revenue: 0.149673, Welfare: 0.166648, Buyer_Regret: 0.000015, Seller_Regret: 0.000059, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.000074, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-03-27 14:41:00,148:INFO:TRAIN-BATCH Iter: 2600, t = 29.7291, Revenue: 0.130936, Welfare: 0.145223, Buyer_Regret: 0.000028, Seller_Regret: 0.000000, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.000028, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-03-27 14:41:01,219:INFO:TRAIN-BATCH Iter: 2700, t = 30.7953, Revenue: 0.156717, Welfare: 0.168171, Buyer_Regret: 0.000028, Seller_Regret: 0.000218, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.000246, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-03-27 14:41:02,262:INFO:TRAIN-BATCH Iter: 2800, t = 31.8328, Revenue: 0.130050, Welfare: 0.145590, Buyer_Regret: 0.000014, Seller_Regret: 0.000224, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.000238, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-03-27 14:41:03,405:INFO:TRAIN-BATCH Iter: 2900, t = 32.9692, Revenue: 0.120023, Welfare: 0.133692, Buyer_Regret: 0.000026, Seller_Regret: 0.000208, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.000234, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-03-27 14:41:04,496:INFO:TRAIN-BATCH Iter: 3000, t = 34.0544, Revenue: 0.147174, Welfare: 0.157951, Buyer_Regret: 0.000013, Seller_Regret: 0.000080, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.000093, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-03-27 14:41:05,663:INFO:TRAIN-BATCH Iter: 3100, t = 35.2150, Revenue: 0.122968, Welfare: 0.118376, Buyer_Regret: 0.000010, Seller_Regret: 0.000086, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.000096, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-03-27 14:41:06,777:INFO:TRAIN-BATCH Iter: 3200, t = 36.3240, Revenue: 0.146759, Welfare: 0.147851, Buyer_Regret: 0.000063, Seller_Regret: 0.000186, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.000249, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-03-27 14:41:07,949:INFO:TRAIN-BATCH Iter: 3300, t = 37.4888, Revenue: 0.151798, Welfare: 0.136903, Buyer_Regret: 0.000046, Seller_Regret: 0.000116, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.000161, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-03-27 14:41:09,168:INFO:TRAIN-BATCH Iter: 3400, t = 38.7018, Revenue: 0.132489, Welfare: 0.138802, Buyer_Regret: 0.000016, Seller_Regret: 0.000209, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.000225, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-03-27 14:41:10,400:INFO:TRAIN-BATCH Iter: 3500, t = 39.9277, Revenue: 0.147115, Welfare: 0.143762, Buyer_Regret: 0.000036, Seller_Regret: 0.000166, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.000202, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-03-27 14:41:11,520:INFO:TRAIN-BATCH Iter: 3600, t = 41.0397, Revenue: 0.171140, Welfare: 0.171752, Buyer_Regret: 0.000007, Seller_Regret: 0.000186, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.000193, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-03-27 14:41:12,576:INFO:TRAIN-BATCH Iter: 3700, t = 42.0886, Revenue: 0.144465, Welfare: 0.142801, Buyer_Regret: 0.000013, Seller_Regret: 0.000235, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.000248, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-03-27 14:41:13,679:INFO:TRAIN-BATCH Iter: 3800, t = 43.1860, Revenue: 0.125863, Welfare: 0.129996, Buyer_Regret: 0.000039, Seller_Regret: 0.000175, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.000214, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-03-27 14:41:14,747:INFO:TRAIN-BATCH Iter: 3900, t = 44.2478, Revenue: 0.163472, Welfare: 0.150425, Buyer_Regret: 0.000066, Seller_Regret: 0.000188, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.000254, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-03-27 14:41:15,962:INFO:TRAIN-BATCH Iter: 4000, t = 45.4532, Revenue: 0.142027, Welfare: 0.145096, Buyer_Regret: 0.000019, Seller_Regret: 0.000057, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.000076, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-03-27 14:41:17,043:INFO:TRAIN-BATCH Iter: 4100, t = 46.5285, Revenue: 0.144614, Welfare: 0.155479, Buyer_Regret: 0.000033, Seller_Regret: 0.000247, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.000280, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-03-27 14:41:18,128:INFO:TRAIN-BATCH Iter: 4200, t = 47.6077, Revenue: 0.153124, Welfare: 0.149319, Buyer_Regret: 0.000028, Seller_Regret: 0.000234, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.000262, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-03-27 14:41:19,169:INFO:TRAIN-BATCH Iter: 4300, t = 48.6423, Revenue: 0.144055, Welfare: 0.131977, Buyer_Regret: 0.000006, Seller_Regret: 0.000204, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.000211, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
