2023-05-08 11:34:28,636:INFO:TRAIN-BATCH Iter: 200100, t = 1.1459, Revenue: 0.446768, Welfare: 0.424255, Buyer_Regret: 0.000142, Seller_Regret: 0.000593, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.001470, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-05-08 11:34:31,593:INFO:TRAIN-BATCH Iter: 200200, t = 2.3017, Revenue: 0.349909, Welfare: 0.356459, Buyer_Regret: 0.000245, Seller_Regret: 0.000542, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.001575, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-05-08 11:34:34,553:INFO:TRAIN-BATCH Iter: 200300, t = 3.4714, Revenue: 0.388459, Welfare: 0.398614, Buyer_Regret: 0.000115, Seller_Regret: 0.000229, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.000689, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-05-08 11:34:37,518:INFO:TRAIN-BATCH Iter: 200400, t = 4.6399, Revenue: 0.388391, Welfare: 0.355951, Buyer_Regret: 0.000174, Seller_Regret: 0.001548, Reg_Loss: 0.000004, Lag_Loss: 0.000000, Net_Loss: 0.003444, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-05-08 11:34:40,416:INFO:TRAIN-BATCH Iter: 200500, t = 5.8148, Revenue: 0.392287, Welfare: 0.404632, Buyer_Regret: 0.000207, Seller_Regret: 0.000471, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.001355, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-05-08 11:34:43,314:INFO:TRAIN-BATCH Iter: 200600, t = 6.9961, Revenue: 0.394747, Welfare: 0.378826, Buyer_Regret: 0.000054, Seller_Regret: 0.000597, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.001302, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-05-08 11:34:46,272:INFO:TRAIN-BATCH Iter: 200700, t = 8.1624, Revenue: 0.357669, Welfare: 0.362524, Buyer_Regret: 0.000219, Seller_Regret: 0.000895, Reg_Loss: 0.000001, Lag_Loss: 0.000000, Net_Loss: 0.002230, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-05-08 11:34:49,231:INFO:TRAIN-BATCH Iter: 200800, t = 9.3038, Revenue: 0.403601, Welfare: 0.395724, Buyer_Regret: 0.000156, Seller_Regret: 0.001136, Reg_Loss: 0.000002, Lag_Loss: 0.000000, Net_Loss: 0.002585, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-05-08 11:34:52,190:INFO:TRAIN-BATCH Iter: 200900, t = 10.4374, Revenue: 0.395410, Welfare: 0.418056, Buyer_Regret: 0.000235, Seller_Regret: 0.000518, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.001506, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-05-08 11:34:55,146:INFO:TRAIN-BATCH Iter: 201000, t = 11.5792, Revenue: 0.375641, Welfare: 0.338007, Buyer_Regret: 0.000092, Seller_Regret: 0.000330, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.000844, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-05-08 11:34:58,099:INFO:TRAIN-BATCH Iter: 201100, t = 12.7109, Revenue: 0.355058, Welfare: 0.365559, Buyer_Regret: 0.000090, Seller_Regret: 0.000246, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.000673, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
