2023-05-08 09:58:16,800:INFO:TRAIN-BATCH Iter: 100, t = 2.0079, Revenue: 0.743615, Welfare: 0.505555, Buyer_Regret: 0.011437, Seller_Regret: 0.023464, Reg_Loss: 0.001091, Lag_Loss: 0.035974, Net_Loss: -0.468433, b_w_rgt: 0.066252, s_w_rgt: 0.237370, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 1.553706, update_rate: 1.000000
2023-05-08 09:58:19,010:INFO:TRAIN-BATCH Iter: 200, t = 4.0840, Revenue: 0.758448, Welfare: 0.508225, Buyer_Regret: 0.023153, Seller_Regret: 0.016346, Reg_Loss: 0.001237, Lag_Loss: 0.034231, Net_Loss: -0.472706, b_w_rgt: 0.089406, s_w_rgt: 0.253716, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 1.563802, update_rate: 1.000000
2023-05-08 09:58:21,224:INFO:TRAIN-BATCH Iter: 300, t = 6.1597, Revenue: 0.747094, Welfare: 0.509424, Buyer_Regret: 0.016783, Seller_Regret: 0.017314, Reg_Loss: 0.001065, Lag_Loss: 0.036899, Net_Loss: -0.471400, b_w_rgt: 0.106188, s_w_rgt: 0.271030, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 1.574822, update_rate: 1.000000
2023-05-08 09:58:23,436:INFO:TRAIN-BATCH Iter: 400, t = 8.2345, Revenue: 0.746359, Welfare: 0.520233, Buyer_Regret: 0.016880, Seller_Regret: 0.017743, Reg_Loss: 0.000916, Lag_Loss: 0.035547, Net_Loss: -0.483732, b_w_rgt: 0.123068, s_w_rgt: 0.288773, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 1.583431, update_rate: 1.000000
2023-05-08 09:58:25,645:INFO:TRAIN-BATCH Iter: 500, t = 10.3081, Revenue: 0.747538, Welfare: 0.505306, Buyer_Regret: 0.016067, Seller_Regret: 0.018357, Reg_Loss: 0.000955, Lag_Loss: 0.033280, Net_Loss: -0.471050, b_w_rgt: 0.139135, s_w_rgt: 0.307130, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 1.589876, update_rate: 1.000000
2023-05-08 09:58:27,852:INFO:TRAIN-BATCH Iter: 600, t = 12.3758, Revenue: 0.731515, Welfare: 0.496093, Buyer_Regret: 0.017877, Seller_Regret: 0.019669, Reg_Loss: 0.001175, Lag_Loss: 0.034869, Net_Loss: -0.460041, b_w_rgt: 0.157011, s_w_rgt: 0.326799, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 1.593782, update_rate: 1.000000
2023-05-08 09:58:30,070:INFO:TRAIN-BATCH Iter: 700, t = 14.4521, Revenue: 0.759614, Welfare: 0.495616, Buyer_Regret: 0.015007, Seller_Regret: 0.014611, Reg_Loss: 0.000707, Lag_Loss: 0.027895, Net_Loss: -0.467009, b_w_rgt: 0.172019, s_w_rgt: 0.341410, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 1.597084, update_rate: 1.000000
2023-05-08 09:58:32,273:INFO:TRAIN-BATCH Iter: 800, t = 16.5168, Revenue: 0.747878, Welfare: 0.531628, Buyer_Regret: 0.018513, Seller_Regret: 0.023514, Reg_Loss: 0.001412, Lag_Loss: 0.047286, Net_Loss: -0.482907, b_w_rgt: 0.190532, s_w_rgt: 0.364924, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 1.603794, update_rate: 1.000000
2023-05-08 09:58:34,480:INFO:TRAIN-BATCH Iter: 900, t = 18.5825, Revenue: 0.782504, Welfare: 0.525775, Buyer_Regret: 0.015263, Seller_Regret: 0.017272, Reg_Loss: 0.000980, Lag_Loss: 0.037353, Net_Loss: -0.487428, b_w_rgt: 0.205795, s_w_rgt: 0.382196, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 1.608881, update_rate: 1.000000
2023-05-08 09:58:36,703:INFO:TRAIN-BATCH Iter: 1000, t = 20.6675, Revenue: 0.751654, Welfare: 0.502833, Buyer_Regret: 0.018387, Seller_Regret: 0.012328, Reg_Loss: 0.000779, Lag_Loss: 0.032344, Net_Loss: -0.469706, b_w_rgt: 0.224182, s_w_rgt: 0.394524, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 1.611938, update_rate: 1.000000
2023-05-08 09:58:38,915:INFO:TRAIN-BATCH Iter: 1100, t = 22.7419, Revenue: 0.738658, Welfare: 0.494748, Buyer_Regret: 0.013973, Seller_Regret: 0.015434, Reg_Loss: 0.000707, Lag_Loss: 0.034965, Net_Loss: -0.459069, b_w_rgt: 0.238155, s_w_rgt: 0.409958, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 1.615771, update_rate: 1.000000
2023-05-08 09:58:41,126:INFO:TRAIN-BATCH Iter: 1200, t = 24.8152, Revenue: 0.766834, Welfare: 0.511133, Buyer_Regret: 0.016637, Seller_Regret: 0.017491, Reg_Loss: 0.001013, Lag_Loss: 0.057169, Net_Loss: -0.452862, b_w_rgt: 0.254793, s_w_rgt: 0.427449, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 1.629060, update_rate: 1.000000
2023-05-08 09:58:43,341:INFO:TRAIN-BATCH Iter: 1300, t = 26.8902, Revenue: 0.755796, Welfare: 0.503711, Buyer_Regret: 0.020565, Seller_Regret: 0.020105, Reg_Loss: 0.001432, Lag_Loss: 0.055106, Net_Loss: -0.447149, b_w_rgt: 0.275358, s_w_rgt: 0.447554, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 1.635867, update_rate: 1.000000
2023-05-08 09:58:45,558:INFO:TRAIN-BATCH Iter: 1400, t = 28.9716, Revenue: 0.905011, Welfare: 0.582152, Buyer_Regret: 0.027896, Seller_Regret: 0.029636, Reg_Loss: 0.002664, Lag_Loss: 0.076873, Net_Loss: -0.502601, b_w_rgt: 0.303254, s_w_rgt: 0.477190, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 1.641182, update_rate: 1.000000
2023-05-08 09:58:47,760:INFO:TRAIN-BATCH Iter: 1500, t = 31.0313, Revenue: 0.608476, Welfare: 0.585929, Buyer_Regret: 0.008864, Seller_Regret: 0.031028, Reg_Loss: 0.001623, Lag_Loss: 0.058940, Net_Loss: -0.525365, b_w_rgt: 0.312118, s_w_rgt: 0.508218, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 1.642724, update_rate: 1.000000
2023-05-08 09:58:49,971:INFO:TRAIN-BATCH Iter: 1600, t = 33.1041, Revenue: 0.581629, Welfare: 0.592331, Buyer_Regret: 0.006096, Seller_Regret: 0.026766, Reg_Loss: 0.001214, Lag_Loss: 0.055117, Net_Loss: -0.535992, b_w_rgt: 0.318214, s_w_rgt: 0.534984, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 1.646921, update_rate: 1.000000
2023-05-08 09:58:52,185:INFO:TRAIN-BATCH Iter: 1700, t = 35.1774, Revenue: 0.622573, Welfare: 0.603827, Buyer_Regret: 0.006798, Seller_Regret: 0.044209, Reg_Loss: 0.003351, Lag_Loss: 0.093791, Net_Loss: -0.506666, b_w_rgt: 0.325012, s_w_rgt: 0.579193, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 1.653054, update_rate: 1.000000
2023-05-08 09:58:54,405:INFO:TRAIN-BATCH Iter: 1800, t = 37.2636, Revenue: 0.628481, Welfare: 0.586117, Buyer_Regret: 0.003956, Seller_Regret: 0.026531, Reg_Loss: 0.001149, Lag_Loss: 0.062551, Net_Loss: -0.522395, b_w_rgt: 0.328968, s_w_rgt: 0.605724, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 1.659654, update_rate: 1.000000
2023-05-08 09:58:56,621:INFO:TRAIN-BATCH Iter: 1900, t = 39.3432, Revenue: 0.626218, Welfare: 0.641949, Buyer_Regret: 0.003784, Seller_Regret: 0.031659, Reg_Loss: 0.001579, Lag_Loss: 0.079003, Net_Loss: -0.561331, b_w_rgt: 0.332752, s_w_rgt: 0.637383, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 1.668111, update_rate: 1.000000
